Library,Signal structure,Target oracle AUROC,Metric,Winning model,Winner count,"Winner proportion, %"
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,155,15.5
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Linear SVM,76,7.6
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Logistic regression,86,8.6
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),Random forest,163,16.3
Heterogeneous core,XOR interaction signal,0.5,Partial AUROC (FPR ≤ 0.10),RBF SVM,176,17.6
Heterogeneous core,XOR interaction signal,0.5,AUROC,Decision tree,196,19.6
Heterogeneous core,XOR interaction signal,0.5,AUROC,Gaussian naive Bayes,152,15.2
Heterogeneous core,XOR interaction signal,0.5,AUROC,Histogram gradient boosting,154,15.4
Heterogeneous core,XOR interaction signal,0.5,AUROC,Linear SVM,77,7.7
Heterogeneous core,XOR interaction signal,0.5,AUROC,Logistic regression,68,6.8
Heterogeneous core,XOR interaction signal,0.5,AUROC,Random forest,190,19
Heterogeneous core,XOR interaction signal,0.5,AUROC,RBF SVM,163,16.3
Heterogeneous core,XOR interaction signal,0.6,Average precision,Decision tree,102,10.2
Heterogeneous core,XOR interaction signal,0.6,Average precision,Gaussian naive Bayes,124,12.4
Heterogeneous core,XOR interaction signal,0.6,Average precision,Histogram gradient boosting,214,21.4
Heterogeneous core,XOR interaction signal,0.6,Average precision,Linear SVM,79,7.9
Heterogeneous core,XOR interaction signal,0.6,Average precision,Logistic regression,63,6.3
Heterogeneous core,XOR interaction signal,0.6,Average precision,Random forest,187,18.7
Heterogeneous core,XOR interaction signal,0.6,Average precision,RBF SVM,231,23.1
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Decision tree,171,17.1
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,121,12.1
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,182,18.2
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Linear SVM,81,8.1
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Logistic regression,71,7.1
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),Random forest,188,18.8
Heterogeneous core,XOR interaction signal,0.6,Partial AUROC (FPR ≤ 0.10),RBF SVM,186,18.6
Heterogeneous core,XOR interaction signal,0.6,AUROC,Decision tree,184,18.4
Heterogeneous core,XOR interaction signal,0.6,AUROC,Gaussian naive Bayes,134,13.4
Heterogeneous core,XOR interaction signal,0.6,AUROC,Histogram gradient boosting,177,17.7
Heterogeneous core,XOR interaction signal,0.6,AUROC,Linear SVM,48,4.8
Heterogeneous core,XOR interaction signal,0.6,AUROC,Logistic regression,69,6.9
Heterogeneous core,XOR interaction signal,0.6,AUROC,Random forest,164,16.4
Heterogeneous core,XOR interaction signal,0.6,AUROC,RBF SVM,224,22.4
Heterogeneous core,XOR interaction signal,0.7,Average precision,Decision tree,49,4.9
Heterogeneous core,XOR interaction signal,0.7,Average precision,Gaussian naive Bayes,75,7.5
Heterogeneous core,XOR interaction signal,0.7,Average precision,Histogram gradient boosting,426,42.6
Heterogeneous core,XOR interaction signal,0.7,Average precision,Linear SVM,46,4.6
Heterogeneous core,XOR interaction signal,0.7,Average precision,Logistic regression,45,4.5
Heterogeneous core,XOR interaction signal,0.7,Average precision,Random forest,118,11.8
Heterogeneous core,XOR interaction signal,0.7,Average precision,RBF SVM,241,24.1
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Decision tree,165,16.5
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Gaussian naive Bayes,94,9.4
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Histogram gradient boosting,304,30.4
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Linear SVM,69,6.9
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Logistic regression,52,5.2
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),Random forest,117,11.7
Heterogeneous core,XOR interaction signal,0.7,Partial AUROC (FPR ≤ 0.10),RBF SVM,199,19.9
Heterogeneous core,XOR interaction signal,0.7,AUROC,Decision tree,74,7.4
Heterogeneous core,XOR interaction signal,0.7,AUROC,Gaussian naive Bayes,66,6.6
Heterogeneous core,XOR interaction signal,0.7,AUROC,Histogram gradient boosting,459,45.9
Heterogeneous core,XOR interaction signal,0.7,AUROC,Linear SVM,34,3.4
Heterogeneous core,XOR interaction signal,0.7,AUROC,Logistic regression,31,3.1
Heterogeneous core,XOR interaction signal,0.7,AUROC,Random forest,104,10.4
Heterogeneous core,XOR interaction signal,0.7,AUROC,RBF SVM,232,23.2
Similar linear,Single linear signal,0.5,Average precision,Elastic-net logistic regression,73,7.3
Similar linear,Single linear signal,0.5,Average precision,linear_svm_c1,139,13.9
Similar linear,Single linear signal,0.5,Average precision,logreg_l1_c01,461,46.1
Similar linear,Single linear signal,0.5,Average precision,logreg_l2_c003,158,15.8
Similar linear,Single linear signal,0.5,Average precision,logreg_l2_c01,26,2.6
Similar linear,Single linear signal,0.5,Average precision,logreg_l2_c1,29,2.9
Similar linear,Single linear signal,0.5,Average precision,logreg_l2_c10,114,11.4
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,80,8
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,134,13.4
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,448,44.8
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,172,17.2
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,24,2.4
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,30,3
Similar linear,Single linear signal,0.5,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,112,11.2
Similar linear,Single linear signal,0.5,AUROC,Elastic-net logistic regression,79,7.9
Similar linear,Single linear signal,0.5,AUROC,linear_svm_c1,121,12.1
Similar linear,Single linear signal,0.5,AUROC,logreg_l1_c01,469,46.9
Similar linear,Single linear signal,0.5,AUROC,logreg_l2_c003,171,17.1
Similar linear,Single linear signal,0.5,AUROC,logreg_l2_c01,8,0.8
Similar linear,Single linear signal,0.5,AUROC,logreg_l2_c1,10,1
Similar linear,Single linear signal,0.5,AUROC,logreg_l2_c10,142,14.2
Similar linear,Single linear signal,0.6,Average precision,Elastic-net logistic regression,56,5.6
Similar linear,Single linear signal,0.6,Average precision,linear_svm_c1,60,6
Similar linear,Single linear signal,0.6,Average precision,logreg_l1_c01,654,65.4
Similar linear,Single linear signal,0.6,Average precision,logreg_l2_c003,126,12.6
Similar linear,Single linear signal,0.6,Average precision,logreg_l2_c01,33,3.3
Similar linear,Single linear signal,0.6,Average precision,logreg_l2_c1,17,1.7
Similar linear,Single linear signal,0.6,Average precision,logreg_l2_c10,54,5.4
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),Elastic-net logistic regression,65,6.5
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),linear_svm_c1,94,9.4
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l1_c01,601,60.1
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c003,133,13.3
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c01,10,1
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c1,16,1.6
Similar linear,Single linear signal,0.6,Partial AUROC (FPR ≤ 0.10),logreg_l2_c10,81,8.1
Similar linear,Single linear signal,0.6,AUROC,Elastic-net logistic regression,49,4.9
Similar linear,Single linear signal,0.6,AUROC,linear_svm_c1,63,6.3
Similar linear,Single linear signal,0.6,AUROC,logreg_l1_c01,692,69.2
Similar linear,Single linear signal,0.6,AUROC,logreg_l2_c003,130,13
Similar linear,Single linear signal,0.6,AUROC,logreg_l2_c01,3,0.3
Similar linear,Single linear signal,0.6,AUROC,logreg_l2_c1,5,0.5
Similar linear,Single linear signal,0.6,AUROC,logreg_l2_c10,58,5.8
Similar linear,Single linear signal,0.7,Average precision,Elastic-net logistic regression,9,0.9
Similar linear,Single linear signal,0.7,Average precision,linear_svm_c1,2,0.2
Similar linear,Single linear signal,0.7,Average precision,logreg_l1_c01,967,96.7
Similar linear,Single linear signal,0.7,Average precision,logreg_l2_c003,11,1.1
Similar linear,Single linear signal,0.7,Average precision,logreg_l2_c01,4,0.4
Similar linear,Single linear signal,0.7,Average precision,logreg_l2_c1,2,0.2
Similar linear,Single linear signal,0.7,Average precision,logreg_l2_c10,5,0.5
