library,mapping_status,alpha,candidate_order,candidate,trigger_threshold,regular_quantile_threshold,regular_quantile_index_zero_based,plus_one_threshold,plus_one_index_zero_based,plus_one_attainable,plus_one_minus_regular_threshold,candidate_minus_trigger_gap,absolute_gap,exact_coincidence,candidate_threshold_tie_count,candidate_threshold_tie_mass,candidate_lower_spacing,candidate_upper_spacing,trigger_lower_spacing,trigger_upper_spacing,gap_in_local_score_spacings,regularity_classification
mixed_realistic_20,historical_surrogate_20_candidate,0.2,5,decision_tree,0.5283444444444445,0.5185055555555557,7999,0.5185222222222222,8000,True,1.666666666655381e-05,-0.009838888888888841,0.009838888888888841,False,1,0.0001,1.1102230246251565e-16,1.666666666655381e-05,1.1102230246251565e-16,5.555555555480929e-06,88620832667479.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,6,random_forest,0.5283444444444445,0.52565,7999,0.5256555555555555,8000,True,5.555555555591951e-06,-0.0026944444444445548,0.0026944444444445548,False,1,0.0001,1.111111111107288e-05,5.555555555591951e-06,1.1102230246251565e-16,5.555555555480929e-06,24269397991942.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.2,7,hist_gradient_boosting,0.5283444444444445,0.5254000000000001,7999,0.5254222222222222,8000,True,2.222222222214576e-05,-0.0029444444444444162,0.0029444444444444162,False,1,0.0001,1.1111111111183902e-05,2.222222222214576e-05,1.1102230246251565e-16,5.555555555480929e-06,26521197805626.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,1,logistic_regression,0.5283444444444445,0.5385333333333333,8999,0.5385555555555556,9000,True,2.2222222222256782e-05,0.010188888888888803,0.010188888888888803,False,1,0.0001,2.222222222214576e-05,2.2222222222256782e-05,1.1102230246251565e-16,5.555555555480929e-06,91773352406638.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,2,linear_svm,0.5283444444444445,0.5383444444444445,8999,0.5383666666666667,9000,True,2.222222222214576e-05,0.010000000000000009,0.010000000000000009,False,2,0.0002,2.222222222214576e-05,2.222222222214576e-05,1.1102230246251565e-16,5.555555555480929e-06,90071992547410.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,3,rbf_svm,0.5283444444444445,0.5393777777777777,8999,0.5393888888888889,9000,True,1.1111111111183902e-05,0.011033333333333228,0.011033333333333228,False,1,0.0001,1.1111111110961858e-05,1.1111111111183902e-05,1.1102230246251565e-16,5.555555555480929e-06,99379431777308.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,4,gaussian_nb,0.5283444444444445,0.5393555555555556,8999,0.5393555555555556,9000,True,0.0,0.011011111111111083,0.011011111111111083,False,2,0.0002,5.5555555555586444e-05,8.888888888880508e-05,1.1102230246251565e-16,5.555555555480929e-06,99179271793870.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,5,decision_tree,0.5283444444444445,0.5287944444444445,8999,0.5288166666666667,9000,True,2.2222222222256782e-05,0.00044999999999995044,0.00044999999999995044,False,1,0.0001,1.111111111107288e-05,2.2222222222256782e-05,1.1102230246251565e-16,5.555555555480929e-06,4053239664633.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,6,random_forest,0.5283444444444445,0.5385444444444445,8999,0.5385500000000001,9000,True,5.555555555591951e-06,0.010199999999999987,0.010199999999999987,False,1,0.0001,2.2222222222256782e-05,5.555555555591951e-06,1.1102230246251565e-16,5.555555555480929e-06,91873432398358.0,empirically_separated
mixed_realistic_20,historical_surrogate_20_candidate,0.1,7,hist_gradient_boosting,0.5283444444444445,0.5390666666666667,8999,0.5390777777777778,9000,True,1.111111111107288e-05,0.010722222222222189,0.010722222222222189,False,1,0.0001,2.2222222222256782e-05,1.111111111107288e-05,1.1102230246251565e-16,5.555555555480929e-06,96577192009167.0,empirically_separated
