replication,seed,roc_auc,average_precision,pauc_fpr_0_10
228,3403928948,0.7352913422977116,0.4782134145402197,0.5761165120870115
229,3054146636,0.7393410395533538,0.4633590515103492,0.5687496637323434
230,2400536384,0.7408146575450184,0.47057432721569503,0.5779209760660202
231,2597925921,0.74298498073445,0.48788274715485713,0.5768118101339691
232,3840610625,0.7345977824958716,0.46715690839070984,0.5681619713355103
233,73824757,0.7353982857592198,0.4724743430368528,0.5759013007867628
234,332178559,0.7433419831721317,0.47246665503226,0.5724910294135906
235,561017833,0.7402579224659903,0.4739909362135599,0.5724082558365718
236,1312455374,0.7439757804513643,0.4846683900731137,0.5759509649329742
237,2674833390,0.7396005347173076,0.46499039018219346,0.570355471126507
238,3410698691,0.7428025477707006,0.4766329193842977,0.5787404344785058
239,1504347084,0.7383282220649525,0.45591830591592375,0.567789490238926
240,2344862196,0.7416922230085713,0.4713260487716266,0.5721682124632175
241,3928460153,0.7423716285287411,0.47228926412176214,0.5695111806409158
242,3882694102,0.7453754816387512,0.4824386608697272,0.5786079967552757
243,541871023,0.7364409845089251,0.46548606336213855,0.5732194368913556
244,416315967,0.7453723362428245,0.4837584639761614,0.5761496215178191
245,294124600,0.7305638122198632,0.47559183505539215,0.577407779888504
246,2511007018,0.7427632303216167,0.47874512751635323,0.5741547783116674
247,668161719,0.7373515766297082,0.4678998553735595,0.5749742367241529
248,1130801481,0.7409735000393174,0.46922534658881315,0.5689855684268468
249,750753305,0.7401289612329953,0.46800584136843765,0.5736001953456418
250,2134978128,0.7427129039867892,0.4733708426332487,0.5729131746563862
251,2707967671,0.7414122827710938,0.47597900176421276,0.5733022104683743
252,2689972427,0.7471463395454904,0.49113752751465667,0.5761992856640303
253,2333275821,0.740207596131163,0.4690070661255,0.5665230545105392
254,1737260062,0.7380734449948886,0.4705880927356305,0.5729462840871937
255,3338422281,0.7450389242745932,0.49324488862154425,0.5829453321910579
256,925218211,0.7370826452779744,0.46772265152585685,0.5713487540507319
257,1765884225,0.7407942124714949,0.46228090918701575,0.5747010839199911
258,2999212178,0.7372210426987497,0.4694895810949081,0.5726234671368206
259,1868485470,0.7352174254934339,0.46895366313556036,0.5711004333196757
260,3717205342,0.7390092002830856,0.4599052906971144,0.5663078432102904
261,1075536087,0.7446158685224503,0.47138527347015846,0.5709431635233401
262,287108836,0.7486482661004954,0.4710997834925996,0.5671769657689872
263,1525025095,0.7375701816466147,0.4640885677574922,0.5717460672204219
264,1068322467,0.739933946685539,0.46893271962208616,0.5706782880768801
265,79357316,0.7370700636942674,0.4678007790319808,0.5736746915649586
266,1737297574,0.739425965243375,0.46509027322133806,0.5726896859984356
267,752386762,0.7454415349532123,0.4796394948279815,0.5723420369749569
268,687399515,0.7479814421640324,0.4891045190348568,0.5755370970478804
269,3897688295,0.7399622552488796,0.47757029136758117,0.5720606068130931
270,38276326,0.7331398914838406,0.4766939125033679,0.5730952765258275
271,527328495,0.7397971219627272,0.4738827265412542,0.5755288196901786
272,393823662,0.7341825902335456,0.4672948308136017,0.5703223616956995
273,3222219936,0.7390343634504993,0.47440790847237385,0.5765386573298072
274,793988577,0.7367177793504758,0.4756794907780469,0.5756860894865141
275,2682641642,0.7509790044821892,0.488666774606037,0.580768387115465
276,437519295,0.7462939372493512,0.4790130383045569,0.5769276931417953
277,2199180617,0.7315782024062278,0.47206746014613976,0.5695608447871271
278,3323021626,0.7435873240544154,0.47622901393036804,0.5761827309486266
279,1248049845,0.7369961468899898,0.4664727528180926,0.5701154277531526
280,2044770880,0.7349170401824329,0.4734757787777827,0.5726814086407337
281,1941680272,0.745153731225918,0.48832914217366963,0.5787735439093132
282,3058117222,0.7388047495478494,0.47947617451489166,0.5792453532983202
283,1417107592,0.7396508610521348,0.47224433601765936,0.5766297082645278
284,867885520,0.7392435322796256,0.4682655825620882,0.5743782669696179
