library,policy,replication,best_model,best_selection_metric,p_value,winner_model,winner_selection_roc_auc,naive_empirical_p_value,model_match,score_abs_diff,p_abs_diff,decision_mismatch_alpha_0.2,decision_mismatch_alpha_0.1,decision_mismatch_alpha_0.05,decision_mismatch_alpha_0.025,decision_mismatch_alpha_0.01,decision_mismatch_alpha_0.005
high_dependency_linear_20,fixed_base,3227,elastic_net_logreg,0.4775333333333333,0.7738452309538092,elastic_net_logreg,0.4775333333333333,0.7740451909618077,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3267,logreg_l2_c003,0.4959111111111111,0.55248950209958,logreg_l2_c003,0.4959111111111111,0.5526894621075785,True,0.0,0.00019996000799848979,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3383,logreg_l2_c10,0.5858111111111111,0.0013997200559888,elastic_net_logreg,0.5858111111111112,0.0017996400719856,False,1.1102230246251565e-16,0.0003999200159967998,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3409,logreg_l2_c003,0.4620111111111111,0.8952209558088382,logreg_l2_c003,0.4620111111111111,0.8954209158168366,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3586,logreg_l1_c01,0.5165888888888889,0.28374325134973,linear_svm_c1,0.516588888888889,0.29874025194961,False,1.1102230246251565e-16,0.014997000599880017,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3628,logreg_l2_c003,0.4847666666666667,0.6990601879624075,logreg_l2_c003,0.4847666666666667,0.6992601479704059,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3634,logreg_l1_c01,0.4815111111111111,0.735252949410118,logreg_l1_c01,0.4815111111111111,0.7354529094181164,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3710,logreg_l1_c01,0.4728222222222222,0.8250349930013997,logreg_l1_c01,0.4728222222222222,0.8252349530093981,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3784,logreg_l1_c01,0.4904666666666666,0.6318736252749451,logreg_l1_c01,0.4904666666666666,0.6320735852829434,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3906,logreg_l1_c01,0.4869111111111111,0.6710657868426315,logreg_l1_c01,0.4869111111111111,0.6712657468506299,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3911,elastic_net_logreg,0.4765111111111111,0.7844431113777245,elastic_net_logreg,0.4765111111111111,0.7846430713857229,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3923,logreg_l2_c003,0.4825777777777777,0.7250549890021996,logreg_l2_c003,0.4825777777777777,0.7252549490101979,True,0.0,0.00019996000799837876,False,False,False,False,False,False
high_dependency_linear_20,fixed_base,3967,elastic_net_logreg,0.4765111111111111,0.7844431113777245,elastic_net_logreg,0.4765111111111111,0.7846430713857229,True,0.0,0.00019996000799837876,False,False,False,False,False,False
